drug_id,dci,position
202,Alprazolam,1
203,Alprazolam,1
204,Ramipril,1
205,Ramipril,1
206,Ramipril,1
207,Diltiazem,1
208,Complexe vitaminé,1
209,Fenugrec,1
209,Lysine,2
209,Vitamines,3
209,Zinc,4
210,Gelée royale,1
210,Vitamines,2
210,Zinc,3
210,Fer,4
211,Ginseng,1
211,Caféine,2
211,Vitamines,3
211,Minéraux,4
212,Vitamines,1
212,Minéraux,2
213,Vitamines,1
213,Minéraux,2
214,Vitamines,1
214,Minéraux,2
214,Oligo-éléments,3
215,Vitamines,1
216,Prégabaline,1
217,Prégabaline,1
218,Prégabaline,1
219,Carbamazepine,1
220,Carbamazépine,1
221,Carbamazépine,1
222,Carbamazépine,1
223,Oméprazole,1
224,Oméprazole,1
225,Oméprazole,1
226,Amlodipine,1
227,Amlodipine,1
228,Amlodipine,1
229,Amlodipine,1
230,Glimépiride,1
231,Glimépiride,1
232,Glimépiride,1
233,Glimépiride,1
234,Amphotéricine B,1
235,Amlodipine,1
236,Amlodipine,1
237,Amlodipine,1
238,Amlodipine,1
239,Amlodipine,1
240,Amlodipine,1
241,Amlodipine,1
242,Amlodipine,1
243,Amlodipine,1
244,Amlodipine,1
245,Amlodipine,1
246,Adalimumab,1
247,Amisulpride,1
248,Amisulpride,1
249,Amisulpride,1
250,Amisulpiride,1
251,Ciprofloxacine,1
252,Amikacine,1
253,Amisulpride,1
254,Amisulpride,1
255,Amisulpride,1
256,Amlodipine,1
257,Amlodipine,1
258,Amlodipine,1
259,Amlodipine,1
260,Amlodipine,1
261,Amlodipine,1
262,Amlodipine,1
263,Amlodipine,1
263,Atrovastatine,2
264,Amlodipine,1
264,Atrovastatine,2
265,Amlodipine,1
266,Amlodipine,1
267,Amlodipine,1
268,Amlodipine,1
269,Amlodipine,1
270,Amoxicilline,1
271,Amoxicilline,1
272,Amoxicilline,1
273,Amoxicilline,1
274,Amoxicilline,1
275,Amoxicilline,1
276,Amoxicilline,1
277,Amoxicilline,1
278,Amoxicilline,1
279,Amoxicilline,1
280,Amoxicilline,1
281,Terbinafine,1
282,Alpha amylase,1
283,Prednisolone,1
284,Prednisolone,1
285,Anastrozole,1
286,Anastrozole,1
287,ANASTROZOLE,1
288,Anastrozole,1
289,Anastrozole,1
290,Losartan,1
291,Losartan,1
291,Hydrochlorothiazide,2
292,Losartan,1
292,Hydrochlorothiazide,2
293,Paracétamol,1
294,Paracétamol,1
295,Paracetamol,1
296,Paracétamol,1
297,Paracétamol,1
298,Paracétamol,1
298,Acide ascorbique,2
299,Cyprotérone,1
300,Mayo-Inositol,1
300,Vitamine E,2
300,L-Carnitine,3
300,L-Arginine,4
300,Sélénium,5
300,Acide folique,6
301,Testostérone,1
302,Losartan,1
303,Losartan,1
304,Losartan,1
305,Losartan,1
306,"Hyaluronate de sodium, glycérine, extrait de Malva sylvestris, extrait de Chamomilla recutita, phosphate de sodium bibasique, phosphate de sodium monobasique, chlorure de sodium, chlorite de sodium, hydroxyde de potassium, eau purifiée.",1
307,Amlodipine,1
308,Amlodipine,1
309,Alendronate,1
310,Alendronate,1
311,Alendronate,1
312,Alendronate,1
313,Uméclidinium,1
313,Vilantérol,2
314,Passiflore extrait sec,1
314,Rhdiole extrait sec,2
314,Scutellaire extrait sec,3
315,Cimétidine,1
316,Cimétidine,1
317,Hydrocortisone,1
317,Cinchocaïne,2
318,Hydrocortisone acétate,1
318,esculoside benzocaïne,2
319,Mebeverine,1
320,Fluocinolone,1
320,Polymixine B,2
320,Neomycine,3
322,Cyproheptadine,1
323,Cyproheptadine,1
324,Antisérum et immunoglobulines Immunoglobuline tétanique,1
325,Bromazépam,1
326,Paclitaxel,1
327,Indapamide,1
328,RASAGILINE,1
329,Nifuroxazide,1
330,Tadalafil,1
331,Tadalafil,1
332,Fénugrec plus complexe vitaminé,1
333,Cyproheptadine,1
334,Cyproheptadine,1
335,Cyproheptadine,1
336,Insuline glulisine,1
337,Gelée royale,1
341,"Miel d’eucalyptus, sorbitol, eau purifiée, propolis, huiles essentielles (Eucalyptus, menthe arvensis et thym), acide citrique, sorbate de potassium, benzoate de sodium.",1
346,Paracétamol,1
347,"Vitamine D3, Vitamine E, Vitamine C, Thiamine, Riboflavine, Niacine, Vitamine B6, Acide folique, Vitamine B12, Biotine, Acide pantothénique, Chrome, Cuivre, Fer, Manganèse, Molybdènes, Sélénium, Zinc, Extrait de Guarana titré à 25% en caféine, Stéarate de magnésium, gélule d’origine bovine Halal.",1
349,Extrait de propolis et d'échinacée,1
350,Extrait de propolis et d'échinacée,1
351,Film mucoadhésif,1
352,Lévocétirizine,1
353,Lévocétirizine,1
354,Fer,1
355,Apomorphine,1
356,Apomorphine,1
357,Paracetamol,1
358,Amlodipine,1
358,Irbesartan,2
359,Amlodipine,1
359,Irbesartan,2
360,Amlodipine,1
360,Irbesartan,2
361,Amlodipine,1
361,Irbesartan,2
362,Irbésartan,1
363,Irbésartan,1
364,APIXABAN,1
365,APIXABAN,1
366,APIXABAN,1
367,APIXABAN,1
368,APIXABAN,1
369,Paracétamol,1
370,Moxifloxacine,1
371,Moxifloxacine,1
372,Moxifloxacine,1
373,Cyproheptadine,1
374,Cyproheptadine,1
375,Cytarabine,1
376,Cytarabine,1
377,Cytarabine,1
378,Losartan,1
379,Losartan,1
380,Darbepoeitin Alfa,1
381,Darbepoeitin Alfa,1
382,Darbepoeitin Alfa,1
383,Darbepoeitin Alfa,1
384,Darbepoeitin Alfa,1
385,Darbepoeitin Alfa,1
386,Darbepoeitin Alfa,1
387,Darbepoeitin Alfa,1
388,Irbesartan,1
389,Irbésartan,1
390,Irbesartan,1
391,Irbesartan,1
392,Losartan,1
393,Losartan,1
394,Leflunomide,1
395,Étoricoxib,1
396,Étoricoxib,1
397,Étoricoxib,1
398,Étoricoxib,1
399,Étoricoxib,1
400,Ciprofloxacine,1
401,Ciprofloxacine,1
402,Ciprofloxacine,1
403,Ciprofloxacine,1
404,Argent colloïdale,1
405,Arginine,1
406,Arginine,1
407,Alginate de sodium,1
407,Bicarbonate de sodium,2
408,Donépezil,1
409,Donépezil,1
410,Anastrozole,1
411,Aripiprazole,1
412,Aripiprazole,1
413,Aripiprazole,1
414,Aripiprazole,1
415,Anastrozole,1
416,Etoricoxib,1
417,Étoricoxib,1
418,Étoricoxib,1
419,Étoricoxib,1
420,Fondaparinux,1
421,Fondaparinux,1
422,Arnica montana teinture mère,1
423,Exemestane,1
424,Trihexyphenidyle,1
425,Hypromellose,1
426,Périndopril,1
426,Amlodipine,2
427,Périndopril,1
427,Amlodipine,2
428,Périndopril,1
428,Amlodipine,2
429,Périndopril,1
429,Amlodipine,2
430,Acide glycyrrhétinique,1
431,Poudre de carapace de crustacés,1
431,Poudre de carapace de poisson,2
431,Poudre de harpagophytum,3
431,Poudre de reine des près,4
431,Poudre de prêle,5
431,vitamine B12,6
432,Adrénaline,1
432,Articaïne,2
433,Glucosamine,1
434,Hyaluronate de sodium,1
435,Hyaluronate de sodium,1
436,Méloxicam,1
437,Méloxicam,1
438,Méloxicam,1
439,Méloxicam,1
440,"Chlorure de Sodium 172,19 - 210,68 G / L",1
440,"Chlorure de magnésium, 6H2O 3,56 - 3,74 G / L",2
440,"Chlorure de calcium, 2H2O 6,43 – 9,48 G / L",3
440,"Chlorure de potassium 5,22 – 8,24 G / L",4
440,"Glucose monohydrate 0 - 40,49 G / L",5
441,"Chlorure de Sodium 172,19 - 210,68 G / L",1
441,"Chlorure de magnésium, 6H2O 3,56 - 3,74 G / L",2
441,"Chlorure de calcium, 2H2O 6,43 – 9,48 G / L",3
441,"Chlorure de potassium 5,22 – 8,24 G / L",4
441,"Glucose monohydrate 0 - 40,49 G / L",5
442,Benzoate de Benzyle,1
442,Sulfirame,2
443,Calcium Carbasalate,1
444,Aciclovir,1
445,Acide acétylsalicylique,1
446,Acide acétylsalicylique,1
447,Acide Acétylsalicylique,1
448,Acide Acétylsalicylique,1
449,Acide Acétylsalicylique,1
450,Acide acétylsalicylique,1
451,Acide acétylsalicylique,1
452,Acide acétylsalicylique,1
452,Acide ascorbique,2
452,Chlorure de monophosphothiamine,3
453,Acide acétylsalicylique,1
453,Acide ascorbique,2
453,Chlorure de monophosphothiamine,3
454,Acide acétylsalicylique,1
455,Acide acétylsalicylique,1
456,Flucloxacilline,1
457,Flucloxacilline,1
458,Flucloxacilline,1
459,Flucloxacilline,1
460,Flucloxacilline,1
461,Flucloxacilline,1
462,Flucloxacilline,1
463,Flucloxacilline,1
464,Flucloxacilline,1
465,Salbutamol,1
466,Lévonorgestrel,1
466,Éthinyl estradiol,2
467,Candésartan,1
468,Candésartan,1
469,Candésartan,1
470,Hydroxyzine,1
471,Hydroxyzine,1
472,Aténolol,1
473,Aténolol,1
474,Aténolol,1
475,Miansérine,1
476,Acide tiaprofénique,1
477,Acide tiaprofénique,1
478,Acide tiaprofénique,1
479,Acide tiaprofénique,1
480,Acide tiaprofinique,1
481,Valsartan,1
482,Valsartan,1
483,Cétirizine,1
484,Cétirizine,1
485,Ipratropium,1
486,Ipratropium,1
487,Tériflunomide,1
489,Amoxicilline,1
489,Acide clavulanique,2
490,Amoxicilline,1
490,Acide clavulanique,2
491,Amoxicilline,1
491,Acide clavulanique,2
492,Amoxicilline,1
492,Acide clavulanique,2
493,Amoxicilline,1
493,Acide clavulanique,2
494,Amoxicilline,1
494,Acide clavulanique,2
495,Amoxicilline,1
495,Acide clavulanique,2
496,Oméprazole,1
497,Oméprazole,1
498,Chlortétracycline,1
499,Chlortétracycline,1
500,Chlortétracycline,1
501,Oxytétracycline,1
501,Polymyxine,2
501,Nystatine,3
501,Déxaméthasone,4
502,Lidocaïne,1
502,glycérol,2
503,Irbesartan,1
504,Irbesartan,1
505,Fluticasone,1
506,Lévofloxacine,1
507,Bevacizumab,1
508,Bevacizumab,1
509,Vaccin inactivé de L'hepathite A adsorbé (Vaccin pour adulte),1
510,Vaccin Inactivé de L'hepathite A adsorbé (Vaccin pédiatrique),1
511,Losartan,1
512,Losartan,1
513,Losartan,1
514,Moxifloxacine,1
515,Moxifloxacine,1
516,Moxifloxacine,1
517,Paeonia officinalis,1
517,Ratanhia,2
517,Aesculus hippocastanum,3
517,Hamamelis virginiana,4
518,Irbésartan,1
519,Irbésartan,1
520,Irbésartan,1
521,Irbésartan,1
522,Betahistine,1
523,Betahistine,1
524,Propranolol,1
525,Propranolol,1
526,Dutastéride,1
